Title,Company,Experience,Salary,Location,Posted,Applications,Role,Employment_type,Education,Skills
"Senior Manager, Data Platform",Opendoor,10 - 14 years,Not Disclosed,Chennai, 28 days ago,78," Full Time, Permanent", Database Manager," 
UG: B.Tech/B.E. in Any Specialization
PG: MS/M.Sc(Science) in Any Specialization","Data Engineering, snowflake, data management, data security, amazon redshift, microsoft azure, data warehousing, data integrity, business intelligence, sql, data bricks, data science, spark, gcp, recruitment, kafka, data governance, data transformation, etl, aws"
S&C Global Network - AI - Resources - Data Science Analyst,Accenture,2 - 5 years,Not Disclosed,Gurugram, 30+ days ago,110," Full Time, Permanent", Data Science & Analytics - Other," 
UG: Any Graduate
PG: Any Postgraduate","python, microsoft azure, pyspark, sql, ml, advanced analytics, algorithms, mathematics, data mining, power bi, artificial intelligence, data bricks, gen, tableau, ops, oil, data science, gcp, chemical, manufacturing, aws, machine learning algorithms, statistics"
S&C Global Network - AI - Resources - Data Science Analyst,Accenture,2 - 5 years,Not Disclosed,Pune, 30+ days ago,146," Full Time, Permanent", Data Science & Analytics - Other," 
UG: Any Graduate
PG: Any Postgraduate","python, microsoft azure, pyspark, sql, ml, advanced analytics, algorithms, mathematics, data mining, power bi, artificial intelligence, data bricks, gen, tableau, ops, oil, data science, gcp, chemical, manufacturing, aws, machine learning algorithms, statistics"
S&C Global Network - AI - Resources - Data Science Consultant,Accenture,3 - 6 years,Not Disclosed,Bengaluru, 30+ days ago,87," Full Time, Permanent", Data Science & Analytics - Other," 
UG: Any Graduate
PG: Any Postgraduate","python, microsoft azure, pyspark, sql, ml, advanced analytics, algorithms, mathematics, data mining, power bi, artificial intelligence, data bricks, gen, tableau, ops, oil, data science, gcp, chemical, manufacturing, aws, machine learning algorithms, statistics"
Risk and Finance Data Analyst-2 (Python),Capgemini,4 - 9 years,Not Disclosed,Hyderabad, 30+ days ago,126," Full Time, Permanent", Data Analyst," 
UG: Any Graduate
PG: Any Postgraduate","web development, api, python, django, flask, css, jquery, sql, java, git, data science, mysql, html, mongodb, rest, project management, data analysis, data analytics, natural language processing, business analysis, machine learning, sql server, javascript, tableau, r, aws"
Senior Data Scientist,Trellix,10 - 15 years,Not Disclosed,Bengaluru, 30+ days ago,120," Full Time, Permanent", Data Scientist," 
UG: B.Tech/B.E. in Any Specialization
PG: MS/M.Sc(Science) in Any Specialization","data science, Azure, NLP, PyTorch, GCP, Hadoop, Spark, AWS, cybersecurity, Python, SQL, TensorFlow"
Data Scientist,IT,7 - 10 years,Not Disclosed,Chennai, 30+ days ago,102," Full Time, Permanent", Full Stack Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Data Science, Java, Azure, GCP, Scala, ETL, Apache, AWS, data engineering, Apache Spark, Python"
AI Tech Specialist,Aurum Data Solutions,9 - 14 years,Not Disclosed,Hyderabad, 19 days ago,37," Full Time, Permanent", Data Science & Machine Learning - Other," 
UG: Any Graduate","Data analysis, AI, LLM, artificial intelligence, Python, Azure, LangChain, Machine Learning, Deep Learning, SQL, Data Science, LangGraph, NLP, PyTorch, GCP, RAG, AWS, TensorFlow"
BI Architect,Fusion Plus Solutions,6 - 9 years,Not Disclosed,Hyderabad, 30+ days ago,61," Full Time, Permanent", BI Architect," 
UG: Any Graduate
PG: Any Postgraduate","python, ssas, bpm architecture, bi, predictive analytics, power bi, data warehousing, data architecture, business intelligence, dashboards, sql server, sql, qlikview, tableau, data modeling, data science, gcp, dwbi, data visualization, etl, ssis, aws, msbi, architecture"
I&F Decision Sci Practitioner Sr Analyst,Accenture,5 - 8 years,Not Disclosed,Bengaluru, 7 days ago,13," Full Time, Permanent", Analytics Consultant," 
UG: Any Graduate
PG: Any Postgraduate","python, digital advertising, sql, tableau, ga, data analytics, data interpretation, data analysis, predictive analytics, data warehousing, power bi, business analysis, business intelligence, sql server, gcp, marketing analytics, bigquery, data visualization, etl"
Transformation Business Architect - Specialist,Accenture,8 - 12 years,Not Disclosed,Bengaluru, 7 days ago,41," Full Time, Permanent", Business Analyst," 
UG: Any Graduate
PG: Any Postgraduate","microsoft power bi, python, data analysis, data analytics, data visualization, continuous integration, continuous development, verbal and written, change management, talent management, hr strategy, data modeling, gcp, organization design, performance management"
Senior Manager For Production /Technology Manager,Deutsche Bank,16 - 20 years,Not Disclosed,Pune, 8 days ago,814," Full Time, Permanent", Product Manager," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","GCP, Java, DevOps, Continuous Integration, Ansible, Jenkins/Groovy, data analytical, Python"
AI / ML Developer,Openeyes Software Solutions,1 - 2 years,Not Disclosed,Vadodara, 30+ days ago,1116," Full Time, Permanent", Technical Architect," 
UG: Any Graduate
PG: Any Postgraduate","deep learning, data science, GCP, Analytical, Artificial Intelligence, Machine learning, Programming, AWS, Python"
Tableau Developer/Data Engineer,Nublogics,2 - 5 years,Not Disclosed,Hyderabad, 30+ days ago,700," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate","hive, cloudera, python, data analysis, scala, big data analytics, data warehousing, pyspark, machine learning, data engineering, business intelligence, sql, tableau, mapreduce, data science, spark, hadoop, data visualization, sqoop, big data, etl, aws"
